1;Раздел II. Расчетные коэффициенты электрических нагрузок (cosfi и Кс) по установке, процессу, цеху, предприятию в целом;;;;;;;
96;;;;Прочие мелкие установки;;;0,7;0,7
97;;;;Очистные работы;;;0,6;0,4
98;;;;Подготовительные работы;;;0,9;0,4 - 0,7
99;;;;Прочие механизмы;;;0,7;0,7
100;;2.5.Нефтеные и нефтеперерабатывающая промышленность;;;;;cosfi;Кс
101;;;По установке, процессу в целом:;;;;;
102;;;;Компрессорные станции;;;0,8 - 0,85;0,85 - 0,9
103;;;;Глубинонасосные установки;;;0,5 - 0,8;0,45 - 0,6
104;;;;Насосные станции по перекачке воды;;;0,75 - 0,85;0,6 - 0,8
105;;;;Насосные станции по перекачке нефти;;;0,7 - 0,8;0,6 - 0,7
106;;;;Бурящиеся буровые;;;0,6 - 0,75;0,25 - 0,7
107;;;;Нефтедобывающий район в целом;;;0,7 - 0,8;0,3 - 0,6
108;;;;;Электрообесоливающая установка при установочной мощности, кВт:;;;
109;;;;;;130;0,7;0,55
110;;;;;;350;0,85;0,8
111;;;;Депарафинизация масел;;;0,85;0,95
112;;;;Атмосферно-вакуумная трубчатка с электроприводом;;;0,88;0,8
113;;;;Вторичная перегонка;;;0,85;0,95
114;;;;Фенольные установки;;;0,85;0,95
115;;;;Термический крекинг;;;;0,85
116;;;;Азестропная установка;;;;0,4
117;;;;Алкилирование;;;0,86;0,65
118;;;;Газофракционирующая установка;;;0,84;0,7
119;;;;Каталитический крекинг;;;0,9;0,85
120;;;;Сернокислотная очистка;;;;0,3
121;;;;Гидроформинг;;;;0,5
122;;2.6.Химическая промышленность;;;;;cosfi;Кс
123;;;;Подготовительный цех, склады сырья и готовой продукции;;;;
124;;;;;;Резиносмесители подготовительного цеха;0,8;0,68
125;;;;;;Пелетайзеры;0,85;0,75
126;;;;;;Компрессоры;0,85;0,7
127;;;;;;Транспортное оборудование ;0,65;0,35
128;;;;;;Вентиляция;0,8;0,65
129;;;;;;Технологическое оборудование;0,75;0,4
130;;;;;;Двигатель-генераторы ;0,8;0,7
131;;;;;;Подъемники;0,45;0,4
132;;;;Зарядная станция для электрокар и погрузчиков;;;;
133;;;;;;Технологическое оборудование;0,5;0,25
134;;;;;;Зарядные агрегаты;0,8;0,625
135;;;;Подготовительное отделение;;;;
