1;1.1.Машиностроительная и обробатывающая промышленость;;;;;;;;
2;;;1.1.1.Тяжелое машиностроение;;;;;;
3;;;;Металлорежущие станки;;;;;
67;;;;;;Электродвигатели хорошо загруженных, непрерывно работающих механизмов: вентиляторов, насосов, центрифуг и.т.п;0,6 - 0,65;0,8;
68;;;;;;Электродвигатели индивидуального привода станков нормального режима работы: токарных, фрезерных, сверлийных, карусельных, строгальных, долбежных и.т.п;0,12 - 0,14;0,5 - 0,65;
69;;;;;;То же тяжелого режима работы: зубофрезерных, обдирочных.револьверных автоматов, штаповочных эксцентриковых прессов, станков-автоматов, агрегатных станков и.т.п;0,17 - 0.2;0,65;
70;;;;Автоматические паточные линии;;;;;
71;;;;;;а). механо-обработки;0,3 - 0,4;0,6 - 0,65;
72;;;;;;б). кузнечного производства;0,5 - 0,55;0,7;
73;;;;;;в). прессово-штамповочного производства;0,6;0,7;
74;;;;;;г). сварочного производства;0,4;0,6;
75;;;;;;Электродвигатели повторно-кратковременного режима работы: кранов, тельферов, кран-балок, подъемников, вспомогательных двигателей, роль-гангов, подъемных столов,редукторов для открывания фромуг и.т.п. В механических, сборочных и им подобным цехах для ПВ = 25%;0,06;0,45;
76;;;;;;То же в литейных, кузнечных и им подобных цехах для ПВ = 40%;0,1;0,5;
77;;;;;;Электродвигатели механизмов непрерывного транспорта: транспортеры. Элеватоы, конвееры и.т.п, несбалансированные;0,4;0,7;
78;;;;;;То же сбалонсированные;0,5;0,75;
79;;;;;;Лабораторные нагревательные приборы: автоклавы, сушильные шкафа и.т.п;0,3;0,95;
80;;;;;;Электрические печи сопротивления, нагревательные аппараты, сушильные шкафы, камеры сушки, ванны и.т.п, периодического действия;0,5;0,95;
81;;;;;;То же, непрерывного действия;0,7;0,95;
82;;;;;;Печи индукционные низкой частоты;0,75;0,85;
83;;;;;;Печи индукционные высокой частоты с собственными двигатель-генераторами;0,6;0,7;
84;;;;;;То же, с ламповыми генераторами;0,75;0,8;
85;;;;;;Мотор-генераторы высокой частоты;0,6;0,75;
86;;;;;;Генераторы высокой частоты одномашинные;0,65;0,8;
87;;;;;;Дуговые сталеплавильные печи емкостью от 3 до 10т с автоматическим регулированием электродов для качественных сталей и для фасонного литья с механизированной загрузкой;0,7;0,9;
88;;;;;;То же но без механизированной загрузки;0,55;0,85;
