1;1.1.Машиностроительная и обробатывающая промышленость;;;;;;;;
2;;;1.1.1.Тяжелое машиностроение;;;;;;
3;;;;Металлорежущие станки;;;;;
427;;;;;;Шлеппера;0,25;0,7;
428;;;;;;Крышки нагревательных колодцев, шиберы, перекидка клапанов, заслонкинагревательных печей, тарельчатые клапаны;0,1;0,6;
429;;;;Установки непрерывной разливки стали (УНРС);;;;;
430;;;;;;Механизмы качание кристализаторов;0,6;0,8;
431;;;;;;Тянущая клеть;0,7;0,8;
432;;;;;;Механизмы газовой резки;0,5;0,7;
433;;;;;;Механизмы уборки отрезанных слитков;0,5;0,6;
434;;;;;;Технологические вентиляторы;0,8;0,8;
435;;;;;;Насосы насосно-аккумуляторной станции;0,6;0,8;
436;;;;Ферросплавное производство;;;;;
437;;;;;;Транспортеры, элеваторы, питатели;0,45 - 0,5;0,7;
438;;;;;;Задувки;0,8;0,9;
439;;;;;;Насосы, дымососы;0,65 - 0,7;0,85;
440;;;;;;Краны;0,15 - 0,2;0,6;
441;;;;;;Механизмы открывания фрамуг;0,02;0,5;
442;;;;;;Вспомогательные механизмы печей;0,12;0,6;
443;;;;;;Очистные барабаны;0,25;0,65;
444;;;;;;Дробилки, грохоты;0,7;0,8;
445;;;;Огнеупорные заводы и цехи;;;;;
446;;;;;;Дробилки молотковые;0,8;0,85;
447;;;;;;Дробилки молотковые;0,55 - 0,7;0,75 - 0,8;
448;;;;;;Мельницы шаровые;0,8;0,8;
449;;;;;;Мельницы стержневые;0,7;0,75;
450;;;;;;Грохоты;0,5 - 0,6;0,6 - 0,7;
451;;;;;;Конвейеры до 10 кВт;0,4 - 0,5;0,7 - 0,8;
452;;;;;;Конвейеры свыше 10 кВт;0,55 - 0,75;0,6 - 0,85;
453;;;;;;Питатели пластичные, тарельчатые, барабанные,дисковые;0,3 - 0,4;0,5 - 0,6;
454;;;;;;Элеваторы, шнеки;0,6;0,7;
455;;;;;;Механизмы вращающихся печей;0,6;0,7;
456;;;;;;Дымососы печей;0,7;0,8;
457;;;;;;Краны, электролафеты;0,1 - 0,2;0,6 - 0,7;
458;;;;;;Толкатели туннельных печей;0,2;0,5;
459;;;;;;Прессы гидравлические и функциональные;0,6 - 0,65;0,75 - 0,8;
460;;;;;;Насосно-аккумуляторные станции;0,7;0,8;
461;;;;;;Электрофильтры;0,5;0,7;
462;;;;;;Механизмы пылеуборки;0,46;0,85;
463;;;;;;Сушильные барабаны;0,6;0,7;
464;;;;;;Магнитные сепараторы;0,4;;
465;;;;Термические и сварочные электроприемники;;;;;
466;;;;;;Печи сопротивления с непрерывной загрузкой;0,8;0,95 - 0,98;
467;;;;;;То же с периодической закрузкой;0,6;0,95 - 0,98;
468;;;;;;Печи сопротивлений с автоматической загрузкой изделий, сушильные шкафа, нагревательные приборы;0,75 - 0,8;0,95 - 0,98;
469;;;;Дуговые сталеплавильные печи емкостью 3 - 20т с автоматическим регулированием электродов;;;;;
470;;;;;;а).для качественных сталей с механизированой загрузкой;0,75;0,9;
471;;;;;;б).для качественной стали без механизированной загрузки;0,6;0,87;
472;;;;;;в).для фасонного литья с механизированной загрузкой;0,75;0,9;
473;;;;;;г).для фасонного литья без механизированной загрузкой;0,65;0,87;
474;;;;;;Дуговые сталеплавильные печи емкостью 0,5 - 1,5т для фассоного литья ( во вспомогательных цехах с автоматическим регулированием электродов);0,5;0,8;
475;;;;;;Дуговые печи цветного литья (медные сплавы) емкостью 0,25 - 0,5т с ручным регулированием электродов;0,7;0,75;
476;;;;;;Руднотермические печи с трехфазными трансформаторами 6, 7, 5 и 9 мВА;0,9;0,9;
477;;;;;;Сушильные шкафы;0,75 - 0,8;1;
478;;;;Вакуумные дуговые печи с преобразовательными трансформаторами ТМНЦУ;;;;;
479;;;;;Типовые печи I;;;;
480;;;;;;Диаметр кристализатора 160 мм, рабочий ток 3 - 3,6 кА;0,4;;
481;;;;;;Диаметр кристализатора 320 мм, рабочий ток 3 - 3,6 кА;0,06 - 0,1;;
482;;;;;;Диаметр кристализатора 320 мм, рабочий ток 5 -7 кА;0,1 - 0,13;;
483;;;;;;Диаметр кристализатора 320 мм, рабочий ток 8 - 9 кА;0,13 - 0,16;;
484;;;;;Типовые печи II;;;;
485;;;;;;Диаметр кристализатора 400 мм, рабочий ток 5 - 7 кА;0,1 - 0,13;;
486;;;;;;Диаметр кристализатора 400 мм, рабочий ток 8 - 9 кА;0,13 - 0,17;;
487;;;;;Типовые печи III;;;;
488;;;;;;Диаметр кристализатора 400 мм, рабочий ток 5 - 7 кА;0,05 - 0,07;;
489;;;;;;Диаметр кристализатора 400 мм, рабочий ток 8 - 9 кА;0,07 - 0,14;;
490;;;;;;Диаметр кристализатора 630 мм, рабочий ток 8 - 9 кА;0,1 - 0,14;;
491;;;;Вакуумные дуговые печи с преобразовательными трансформаторами ТМПУ;;;;;
492;;;;;Типовые печи I;;;;
493;;;;;;Диаметр кристализатора 160 мм, рабочий ток 3 - 3,6 кА;0,04 - 0,06;;
494;;;;;;Диаметр кристализатора 320 мм, рабочий ток 3 - 3,6 кА;0,09 - 0,16;;
495;;;;;;Диаметр кристализатора 320 мм, рабочий ток 5 -7 кА;0,16 - 0,2;;
496;;;;;;Диаметр кристализатора 320 мм, рабочий ток 8 - 9 кА;0,2 - 0,25;;
497;;;;;Типовые печи II;;;;
498;;;;;;Диаметр кристализатора 400 мм, рабочий ток 5 - 7 кА;0,16 -0,2;;
499;;;;;;Диаметр кристализатора 400 мм, рабочий ток 8 - 9 кА;0,2 - 0,27;;
500;;;;;Типовые печи III;;;;
501;;;;;;Диаметр кристализатора 400 мм, рабочий ток 5 - 7 кА;0,08 - 0,11;;
502;;;;;;Диаметр кристализатора 400 мм, рабочий ток 8 - 9 кА;0,11 - 0,16;;
503;;;;;;Диаметр кристализатора 630 мм, рабочий ток 8 - 9 кА;0,16 - 0,22;;
504;;;;;;Мелкие нагревательные приборы;0,6;1;
505;;;;;;Сварочные трансформаторв электросварки однопостовой;0,2;0,3 - 0,4;
506;;;;;;Сварочные трансформаторв электросварки многопостовой;0,25;0,35 - 0,45;
507;;;;;;Сварочные трансформаторы автоматической сварки;0,3 - 0,4;0,4 - 0,5;
508;;;;;;Однопостовые сварочные двигатель-генераторы;0,3;0,6 - 0,65;
509;;;;;;Многпостовые сварочные двигатель-генераторы;0,5;0,7 -0,75;
510;;;;;;Сварочные машины шовные;0,2 - 0,5;0,7;
511;;;;;;То же стыковые и точечные;0,2 - 0,25;0,6;
512;;;;;;Сварочные дуговые автоматы АДС;0,35;0,5;
513;;;;;;Сварочные трансформаторы дуговой электросварки;0,2;0,4;
514;;;;;;Ламповые генераторы индукционых печей высокой частоты;;0,65;
515;;;;;;Двигатель-генераторы индукционных печей высокой частоты;;0,8;
516;;;;Общезаводские установки и механизмы;;;;;
517;;;;;;Насосы;0,6 - 0,7;0,75 -0,85;
518;;;;;;Компрессоры;0,65;0,8;
519;;;;;;Механическое станочное оборудование;0.16;0,5 - 0,6;
520;;;;;;Деревообрабатывающие станки;0,55;0,75;
521;;;;;;Котельная;0,6;0,75;
522;;;;;;Сантехвентиляция;0,6 - 0,7;0,7 - 0,8;
523;;;;;;Внутренее освещение производственных цехов;0,85 - 0,95;0,95 - 1;
524;;;;;;Внутренее освещение вспомогательных цехов;0,9;1;
525;;;;Метизное производство. Сталепроволочное и железопроволочное производство;;;;;
526;;;;;;Волочильные станы;0,3 - 0,45;0,8 - 0,87;
527;;;;;;Электропечи сопротивления для термической обработки;0,6 - 0,65;1;
528;;;;;;Производственные вентиляторы и воздуходуйки;0,65;0,75;
529;;;;;;Центробежные насосы;0,6;0,7;
530;;;;;;Краны и тельферы;0,1;0,65;
531;;;;;;Сварочные аппараты;0,05;0,6;
532;;;;;;Калибровочное производство;0,35 - 0,5;0,78;
533;;;;;;Электропечи сопротивления для термической обработки;0,6 - 0,65;1;
534;;;;Крепежное производство;;;;;
535;;;;;;Автоматические линии изготовления гаек, болтов, шурупов;0,35 - 0,4;0,65 - 0,7;
536;;;;;;Электропечи сопротивления для термической обработки;0,6;1;
537;;;;Холоднопрокатное производство;;;;;
538;;;;;;Прокатное и отделочное производство (станы);0,3 - 0,4;0,8 - 0,85;
539;;;;;;Электропечи сопротивления для термической обработки;0,6;1;
540;;;;;;Агрегаты непрерывного травления;0,4 -0,45;0,75 - 0,8 ;
541;;;;Канатное производство;;;;;
542;;;;;;Канатные машины;0,35 - 0,4;0,71;
543;;;;Электродное производство;;;;;
544;;;;;;Прессовка и сушилка электродов;0,35 - 0,46;0,7 - 0,8;
545;;;;;;Дробильно-сушильное отделение и смесители;0,4 - 0,45;0,65 - 0,7;
546;;;;;;Водочильные станы порошковой проволоки;0,3 - 0,4;0,7 - 0,8;
547;;;;;;Вентиляторы пневмотранспорта;0,6 - 0,65;0,8 - 0,85;
548;;;;Сеточное производство;;;;;
549;;;;;;Плетельные станки;0,35 - 0,4;0,65 - 0,7;
550;;;;;;Сварочные автоматы;0,2 - 0,25;0,6 - 0,65;
551;;;;Гвоздильное производство;;;;;
552;;;;;;Автоматы;0,95 - 0,4;0,6 - 0,7;
553;;;;;;Насосы эмульсионного хозяйства;0,45;0,65;
554;;;;Производство покрытий;;;;;
555;;;;;;Агрегаты гальвонических покрытий;0,6;0,78;
556;;;;;;Горячее покрытие (агрегат с электрованной оцинкования или лужения);0,6;1;
557;;;;;;Воздуходувки для растворов;0,6;1;
558;;1.7.Горнодобывающая промышленность;;;;;Ки;cosfi;
559;;;;Рудники с подземным способом обработки;;;;;
560;;;;;;Компеноаторы станционные мощностью:;;;
561;;;;;;до 2000 кВт;0,75;0,75;
562;;;;;;от 200 до 400 кВт;0,8 - 0,85;0,8;
563;;;;;;свыше 400 кВт;0,9;0,8;
564;;;;;;Насосы мощностью:;;;
565;;;;;;до 50 кВт;0,7;0,75;
566;;;;;;от 50 до 200 кВт;0,75;0,8;
567;;;;;;от 200 до 400 кВт;0,8;0,8;
568;;;;;;свыше 400 кВт;0,9;0,85;
569;;;;;;Вентиляторы частичного проветривания;0,65;0,7 - 0,8;
570;;;;;Вентиляторы главного проветривания:;;;;
571;;;;;; до 200 кВт;0,7;0,8;
572;;;;;;от 200 до 800 кВт;0,75;0,8;
573;;;;;;свыше 4800 кВт;0,8;0,9;
574;;;;;;Вентиляторы сантехнические;0,65;0,7 - 0,8;
575;;;;;;Ртутные выпрямители металлические;0,9;0,9;
576;;;;;;Ртутные выпрямители стеклянные;0,75;0,75;
577;;;;;;Селеновые выпрямители;0,8;0,8;
578;;;;;;Толкатели, опрокидователи, качающиеся площадки;0,6;0,65;
579;;;;;;Шахтные двери, бункерные затворы;0,5;0,65;
580;;;;;;Дозаторы;0,5;0,65;
581;;;;;;Погрузочно-доставочные машины;0,65;0,65;
582;;;;;;Скребковые конвейеры;0,6;0,65;
583;;;;;;Скреперные лебедки мощностью до 15 кВт;0,5;0,65;
584;;;;;;свыше 15 кВт;0,65;0,65;
585;;;;;;Лебедки на материальных уклонах;0,6;0,65;
586;;;;;;Подъемники лифтовые;0,2;0,65;
587;;;;;;Клетевые подъемники;0,6;0,65;
588;;;;;;Скиповые подъемники;0,7;0,8;
589;;;;;;Электросверла ручные и колонковые;0,4;0,65 - 0,7;
590;;;;;;Станки вращательного бурения;0,4 - 0,5;0,65 - 0,7;
591;;;;;;Станки ударно-вращательного бурения;0,4 - 0,5;0,65 - 0,7;
592;;;;;;Станки холодной обработки металлов;0,2 - 0,4;0,5;
593;;;;;;Механизмы обработки земли в литейных цехах;0,6;0,65;
594;;;;;;Горны;0,5;0,75;
595;;;;;;Сварочные двигатель-генераторы;0,6;0,75;
596;;;;;;Сварочные агрегаты;0,5;0,75;
597;;;;;;Сварочные трансформаторы;0,2;0,4;
598;;;;;;Электровибрационные механизмы;0,6;0,65;
599;;;;;;Вагоноопракидователи;0,35 - 0,45;0,5 - 0,6;
600;;;;;;Вакуум-насосы;0,8;0,85;
601;;;;;Лабораторное оборудование:;;;;
602;;;;;;электродвигатели;0,5;0,65;
603;;;;;;нагревательные приборы;0,7;1;
604;;;;;;Краны мостовые, грейферные, кран-балки.тейферы, лифты;0,2;0,5;
605;;;;;;Печи сопротивления, нагревательные приборы, сушильные шкафы;0,8;1;
606;;;;;;Освещение стационнарных подземных выроботок;1;1;
607;;;;Рудники с открытым способом обработки;;;;;
608;;;;;;Эскаваторы одноковшовые с приводом на постоянном токе по системе ДГД на добыче при грунтах;0,65 - 1;0,55 - 0,75;
609;;;;;Скреперные лебедки мощностью:;;;;
610;;;;;;до 10 кВт;0,3;0,7;
611;;;;;;от 10 до 15 кВт;0,6;0,7;
612;;;;;;свыше 15 кВт;0,6;0,7;
613;;;;;;Лебедки маневровые и откаточные;0,55;0,75;
614;;;;;;Подъемы свыше 2000 кВт;0,15 - 0,35;0,2 - 0,5;
615;;;;;;Краны мостовые, грейферные, кран-балки.тейферы, лифты;0,15 - 0,35;0,2 - 0,5;
616;;;;;;Печи сопротивления, нагревательные приборы, сушильные шкафы;0,75 - 0,8;0,95 - 0,98;
617;;;;;;Выпрямители полупроводниковые;0,75;0,96;
618;;;;;;Выпрямители селеновые;0,8;0,8;
619;;;;;;Сварочные машины шовные;0,2 - 0,5;0,7;
620;;;;;;Сварочные машины стыковые и точечные;0,35;0,6;
621;;;;;;Сварочные двигатель-генераторы;0,3;0,6 - 0,65;
622;;;;;;для однопостовой сварки;0,3;0,6 - 0,65;
623;;;;;;для многопостовой сварки;0,5;0,7 - 0,75;
624;;;;;Сварочные трансформаторы:;;;;
625;;;;;;для однопостовой ручной сварки;0,2;0,3 - 0,4;
626;;;;;;для многопостовой ручной сварки;0,25;0,35 - 0,45;
627;;;;;;для автоматической сварки;0,3 - 0,4;0,4 - 0,5;
628;;;;;;Сварочные дуговые автоматы ;0,35;0,5;
629;;;;;;Станки холодной обработки металлов;0,35;0,65;
630;;;;;;Лабораторное оборудование:;;;
631;;;;;;электродвигатели;0,5;0,65;
632;;;;;;нагревательные приборы;0,7;1;
633;;;;;;Освещение зданий на прикарьерной площадки;0,85 - 0,95;1;
634;;;;;;Освещение в карьере;1;1;
635;;;;;;Освещение территорий прикарьерной площадки;1;1;
636;;;;;;на вскрише при грунтах;0,65 - 1;0,4 - 0,7;
637;;;;;;Эскаваторы одноковшовые с приводом на переменном токе при грунтах;0,65 - 1;0,42 - 0,88;
638;;;;;;Эскаваторы многоковшовые;0,75;0,6 - 0,8;
639;;;;;;Эскаваторы роторные;;0,7;
640;;;;;;Отвалообразователи ленточные;;0,65;
641;;;;;;Станки ударно-канатного бурения;0,4 - 0,6;0,65;
642;;;;;;Станки вращательного бурения;0,4 - 0,6;0,7;
643;;;;;;Компрессоры передвижные;0,7;0,8;
644;;;;;Компрессоры станционные мощностью, кВт:;;;;
645;;;;;;до 200;0,7;0,8;
646;;;;;;от 200 до 400;0,8;0,8;
647;;;;;;свыше 400;0,9;0,8;
648;;;;;Насосы мощностью, кВт:;;;;
649;;;;;;до 50;0,7;0,75;
650;;;;;;от 50 до 200;0,75;0,8;
651;;;;;;от 200 до 500;0,8;0,8;
652;;;;;;свыше 500;0,8 - 0,9;0,85;
653;;;;;Землесосы и песковые насосы мощностью, кВт:;;;;
654;;;;;;до 50;0,8;0,8;
655;;;;;;свыше 50;0,85;0,8;
656;;;;;;Электровибрационные механизмы;0,6 - 0,8;0,65;
657;;;;;;Вакуум насосы;0,8;0,75;
658;;;;;;Вентиляторы производственные;0,7;0,78;
659;;;;;Вентиляторы главного проветривания мощностью, кВт:;;;;
660;;;;;;от 200 до 800;0,75 - 0,8;0,8;
661;;;;;;свыше 800;0,85 - 0,9;0,85;
662;;;;;;Вентиляторы сантехнические;0,65;0,7 - 0,8;
663;;;;Обоготительные фабрики;;;;;
664;;;;;;Насосы производственного водоснабжения;0,8;0,85;
665;;;;;;Насосы песковые производственные;0,75;0,8;
666;;;;;;Насосы песковые дренажные;0,8;0,8;
667;;;;;;Насосы песковые для перекачки хвостов и оборотного водоснабжения;0,8;0,8;
668;;;;;;Вакуум-насосы;0,95;0,85;
669;;;;;;Насосы масленные;0,65;0,75;
670;;;;;;Аглоэксгаустеры для лент 75 кв.м;0,85;0,9(оп);
671;;;;;;Аглоэксгаустеры для лент 50 кв.м;0,75;0,9(оп);
672;;;;;;Вентиляторы производственные, воздуходувки, дымососы;0,75;0,8;
673;;;;;;Вентиляторы сантехнические;0,8;0,8;
674;;;;;;Вентиляторы к дробилкам;0,5;0,6 - 0,75;
675;;;;;Компрессоры станционные мощностью, кВт:;;;;
676;;;;;;до 200;0,75;0,75;
677;;;;;;от 200 до 400;0,9;0,8;
678;;;;Механизмы дробления и измельчения;;;;;
679;;;;;;Дробилки крупного дробления, шековые и конусные с двухдвигательным приводом;0,7;0,6;
680;;;;;;Дробилки крупного дробления, шековые и конусные с однодвигательным приводом, дробилки конусные среднего дробления;0,7;0,7 - 0,75;
681;;;;;;Дробилки короткоконусного дробления;0,7;0,75;
682;;;;;;Дробилки одновалковые и четырехвалковые мелкого дробления;0,7;0,75;
683;;;;;;Дробилки молотковые;0,78;0,85 - 0,9;
684;;;;;;Дробилки четырехвалковые;0,85;0,85;
685;;;;;;Мельницы шаровые;0,9;0,9 (оп);
686;;;;;;Мельницы шаровые и стержневые II и III стадии дробления ;0,8;0,9 (оп);
687;;;;;;Мельницы мощностью до 100 кВт;0,8;0,75;
688;;;;;;Мельницы самоизмельчения 7,5х2,5 м;0,75;0,9(оп);
689;;;;;;Грохоты разные;0,5;0,65;
690;;;;;;Грохоты барабанные;0,65;0,75;
691;;;;;;Механизмы вращающихся печей;0,6;0,7;
692;;;;;;Дымососы печей;0,7;0,8;
693;;;;;;Вспомогательные механизмы конвееров;0,15;0,5;
694;;;;;;Вагоноопракидователи;0,35 - 0,45;0,5 - 0,6;
695;;;;Механизмы непрерывного транспорта;;;;;
696;;;;;;Конвееры ленточные легкие мощностью кВт:;;;
697;;;;;;до 10 ;0,6;0,6 - 0,7;
698;;;;;;свыше 10;0,75;0,75;
699;;;;;;Питатели ленточные, улитковые, тарельчатые, лотковые с двигателями до 10 кВт, шаропитатели, электромагнитные и магнитные сепараторы;0,4;0,65;
700;;;;;;Питатели, конвееры электровибрационные, грохоты;0,6 - 0,98;0,6 - 0,65;
701;;;;;;Конвееры корпуса крупного дробления;0,5;0,7;
702;;;;;;Вспомогательные механизмы конвееров;0,15;0,5;
703;;;;;;Конвееры тяжелые с шириной ленты до 1400 мм;0,7;0,75;
704;;;;;;Конвееры сверхтяжелые с шириной ленты 1600 - 2000 мм;0,8;0,8 - 0,85;
705;;;;;;Питатели пластинчатые тарельчетые, лотковые мощностью свыше 10 кВт шнеки, элеваторы, механические топки;0,7;0,7 - 0,8;
706;;;;Механизмы фильтрации и обогощения;;;;;
707;;;;;;Сгустители;0,7;0,8;
708;;;;;;Барабаны смесительные;0,7;0,8;
709;;;;;;Чашечные охладители;0,7;0,85;
710;;;;;;Столы концентрационные, чаны контактные и реогенные;0,6;0,7;
711;;;;;;Сушильные барабаны и сепараторы;0,6;0,8;
712;;;;;;Классификаторы спиральные;0,7;0,8;
713;;;;;;Отсадочные машины, шлюзы;0,6;0,7;
714;;;;;;Классификаторы реечные;0,6;0,7;
715;;;;;;Мешкозашивочные машины, фильтры весовые озаторы, погрузчики концентрата;0,3;0,6;
716;;;;;;Флотационные машины механические и пневмомеханические;0,9;0,8;
717;;;;;;Вакуум фильтры;0,4;0,6;
718;;;;;;Электрофильтры;0,4;0,87;
719;;;;;;Сепараторы электромагнитные и магнитные барабанные (првод барабана);0,75;0,75;
720;;;;;;Магнитные сепараторы индивидуальные;0,4;;
721;;;;;;Сепараторы электромагнитные разные. Нагрузки на обработку возбуждения со стороны переменного тока по отношению к номенальной мощности электромагнитов сепаратора;1,1;0,875;
722;;;;;;Реагентные питатели;0,3;0,5;
723;;;;;;Печи сушильныебарабанные, смесители, промывочные барабаны, окомкователи, корытные мойки (логоушеры);0,75;0,8;
724;;;;;;Преоброзовательные агрегаты электрофильтров;0,6;0,85;
725;;;;;;Печи обжиговые для двигателей постоянного тока;0,8;1;
726;;;;;;Печи обжиговые для двигателей переменного тока;0,8;0,85;
727;;;;;;Тиристорные преоброзователи для возбудителей синхронных двигателей;0,8;0,5;
728;;;;;;Тиристорные преоброзователи частоты;0,7;0,7;
729;;;;;;Двигатель-генераторы ;0,7;0,8;
730;;;;;;Сварочные трансформаторы;0,2;0,4;
731;;;;;;Лебедки разные;0,3;0,5;
732;;;;;;Вулканизационные аппараты;0,8 - 0,97;0,5 - 1;
733;;;;;;Металлообрабатываюшие станки;0,2;0,5;
734;;;;;;Сушильные шкафы;0,75;1;
735;;;;;;Лабораторное оборудование;0,3 - 0,5;0,65 - 0,8;
736;;;;;;Печи сушильные (омические);1;1;
737;;;;;;Нагревательные приборы;0,7;1;
738;;;;;;Краны грейферные;0,2 - 0,3;0,5 - 0,6;
739;;;;;;Краны разные;0,2;0,5 - 0,6;
740;;;;;;Электроковши, грелки для масла;0,97;1;
741;;;;;;Насосы масляные;0,65;0,75;
742;;"1.8. Лесная и деревообрабатывающая промышленность
";;;;;Ки;cosfi;
743;;;;;;;Лесозаготовительные предприятия;;
744;;;;Крановые установки лесозаготовительных предприятий:;;;;;
745;;;;;;К-350Н;0,28;0,42;
746;;;;;;ККС-10;0,25;0,42;
747;;;;;;ККЦ-7,5;0,3;0,45;
748;;;;;;Козловые и консльно-козловые краны с грейфером (при непрерывной работе);0,4;0,6;
749;;;;;;БКСМ-14, ПМ-2;0,2;0,4;
750;;;;;;Башенный кран КБ-572;0,15;0,35;
751;;;;;;Мостовой кран;0,3;0,5;
752;;;;;;Кабель-кран КК-20;0,4;0,65;
753;;;;Участки и линии по раскряжевки и сортировки хлыстов;;;;;
754;;;;;;Участок ручной раскряжеровки в том числе:;;;
755;;;;;;разгрузочно-растаскивающее устройство;0,1;0,554;
756;;;;;;сортировочные транспортеры;0,33 - 0,5;0,7;
757;;;;;;раскряжевочно-сортировочные линии ПЛХ-2,ПЛХ-3 с неавтоматическим сортировочным транспортером;0,22;0,6;
758;;;;;;Поперечный растаскиватель хлыстов ПРХ-2С;0,1;0,554;
759;;;;;;Многожильный раскряжевательный агрегат с поперечной подачей хлыста (МР-8);0,3;0,8;
760;;;;;;Сучко-резная линия ПСЛ-1;0,2;0,645;
761;;;;;;Слешерная линия разделки долготья на коротье;0,22;0,554;
762;;;;;;Установка по производству технологической щепы УПЩ-3;0,3;0,554;
763;;;;;;Рубильная машина на балансах МРГ-35;0,43;0,57;
764;;;;;Трелевочные лебедки:;;;;
765;;;;;;с циклическим движением троса;0,2 - 0,25;0,5 - 0,6;
766;;;;;;с бесконечным движением троса;0,23 - 0,3;0,55 - 0,6;
767;;;;;;Лебедка на штабелевке и погрузке на складах;0,15 - 0.2;0,5 - 0,58;
768;;;;;;Бревнотаски на бирже;0,4 - 0.5;0,7;
769;;;;;;Бревнотаски амбарные, лебедки на складах;0,2 - 0,3;0,5;
770;;;;;Бревнотаски береговые и цепные транспортеры, шнеки и конвееры:;;;;
771;;;;;;сблокированные;0,4 - 0,55;0,75;
772;;;;;;несблокированные;0,3 - 0,4;0,75;
773;;;;;;Бревносвалы;0,1;0,5 - 0,55;
774;;;;;;Дровокольные станки;0,2;0,4;
775;;;;;;Электропилы (валка деревьев, раскряжевка);0,3 - 0,4;0,55 - 0,74;
776;;;;;Механизмы деревробрабатывающих цехов:;;;;
777;;;;;;Окорочные станки;0,3;0,554;
778;;;;;;Лесопильные рамы;0,6;0,75;
779;;;;;;Многопильный станок;0,43;0,75;
780;;;;;;Обрезные станки;0,2;0,554;
781;;;;;;Торцовычные станки;0,4;0,554;
782;;;;;;Торцовки;0,4;0,554;
783;;;;;;Рубильные машины;0,3;0,554;
784;;;;;;Шпалорезный станок;0,4;0,645;
785;;;;;;Универсальный станок;0,4;0,645;
786;;;;;;Ленточно-делительный станок;0,4;0,645;
787;;;;;;Рейсмусовые и фуговальные станки;0,45;0,55;
788;;;;;;Тарный станок;0,5;0,645;
789;;;;;;Тарно-делительный станок;0,5;0,645;
790;;;;;;Балансирная пила;0,2;0,6;
791;;;;;;Древесно-стружечный станок;0,4;0,6;
792;;;;;;Деревошерстный станок;0,4;0,6;
793;;;;;;Ребровый станок;0,3;0,554;
794;;;;;;Круглопильный станок для поперечного распиливания;0,25;0,55;
795;;;;;;Круглопильный станок для продольного распиливания;0,25;0,55;
796;;;;;;Концеравнильный двухпильный станок;0,2;0,645;
797;;;;;;Агрегатный станок;0,2;0,645;
798;;;;;;Строгальный станок;0,2;0,645;
799;;;;;;Сортировка щепы;0,5;0,69;
800;;;;;;Рольганги;0,3;0,554;
801;;;;;;Скребковые транспортеры;0,4;0,69;
802;;;;;;Ленточные транспортеры;0,2;0,554;
803;;;;;;Брусоперекладчики;0,3;0,554;
804;;;;;;Сбрасыватель;0,2;0,49;
805;;;;;;Дробилки;0,3 - 0,35;0,54 - 0,62;
806;;;;;;Грохоты;0,6;0,7;
807;;;;;;Продольно-торцовые станки и станки для изготовления дранки;0,11 - 0,14;0,5 - 0,54;
808;;;;;;Ленточные ребровые станки;0,45 - 0,5;0,65 - 0,7;
809;;;;;;Круглопильные станки с механической подачей (обрезные, ребровые, длинореечные, делительные);0,45 - 0,5;0,65 - 0,7;
810;;;;;;Круглопильные станки с ручной подачей (балансирные, торцовые, маятниковые);0,35;0,55;
811;;;;;;Фрезерные, шипорезные, сверлийные, долбежные, токарные по дереву;0,2;0,7;
812;;;;;;То же поточные линии;0,25;0,7;
813;;;;;;Шлифовальные станки;0,45;0,6;
814;;;;;;Автоматические линии деревообработки;0,5;0,65;
815;;;;;;Станки ремонтно-механических мастерских;0,15 - 0,2;0,55 - 0,7;
816;;;;;;Прессы;0,5 - 0,6;0,8;
817;;;;;;Транспортреры скребнековые и ленточные;0,5;0,7;
818;;;;;;Питатели пластинчетые, тарельчатые, барабанные;0,4;0,6;
819;;;;;;Рольганги, элеваторы;0,25 - 0,35;0,65 - 0,7;
820;;;;;;Краны, тельферы, тележки цеховые;0,1;0,5;
821;;;;;;Сепараторы;0,4;0,65;
822;;;;;;Сушильные барабаны;0,6;0,7;
823;;;;;;Электрические печи сопротивления;0,8;0,95;
824;;;;;;Переносной электроинструмент;0,06 - 0,1;0,5;
825;;;;;;Машины УПФМ;0,45;0,7;
826;;;;;;Насосы, компрессоры;0,7;0,85;
827;;;;;;Вентиляторы эксгаустеров и сушильных камер;0,7;0,8;
828;;;;;;Вентиляторы сантехнические;0,65;0,8;
829;;;;Производство столярных и строительных изделий;;;;;
830;;;;;;Четырехсторонние строительные станки;0,16;0,53;
831;;;;;;Двухсторонние шипорезы;0,12;0,36;
832;;;;;;Шлифовальные машины;0,22;0,37;
833;;;;;;Линии продольной и поперечной обработки створок;0,31;0,44;
834;;;;;;Станочное оборудования цеха погонажа;0,61;0,59;
835;;;;;;Сушильное отделение;0,37;0,7;
836;;;;;;Малярное отделение ;0,5;0,55;
837;;;;;;Лакокрасочное отделение цеха;0,73;0,8;
838;;;;;;Щитовых дверей;;;
839;;;;;;Технологическая вентиляция;0,52 - 0,57;0,71 - 0,76;
840;;;;;;Сантехническая вентиляция;0,75;0,8;
841;;;Производство ДВП;;;;;;
842;;;;Отделение приготовления щепы;;;;;
843;;;;;;Рубительная машина;0,17 - 0,32;0,47 - 0,6;
844;;;;;;Дезинтегратор;0,12;0,3;
845;;;;;;Транспортеры щепы;0,22 - 0.59;0,4  - 0,7;
846;;;;;;Пневмотранспорт щепы;0,84;0,85;
847;;;;;;Механизмы сортировки щепы;0,22 - 0,27;0,5;
848;;;;Размольное отделение;;;;;
849;;;;;;Рафинатор;0,44 - 0,85;0,87;
